Data Center,Company,White space,Gross power
4650 Old Ironsides Drive,Cyxtera,8211 m²,18100 kW
4700 Old Ironsides Drive,Cyxtera,6583 m²,18100 kW
587 McDonnell Blvd.,Cyxtera,414 m²,8000 kW
9110 Commerce Center Circle,Cyxtera,764 m²,21900 kW
9180 Commerce Center Circle,Cyxtera,4772 m²,21900 kW
Savvis CH,Cyxtera,15879 m²,25600 kW
W Capovilla Ave 5225,Cyxtera,40529 m²,315000 kW
801 Main Street NW,Dacentec,-,-
Dallas,DartPoints,-,-
Data Ark - Stamford,"Data Ark Systems, LLC.",-,-
Data Cave,Data Cave,-,-
Data Center NYC - LGA4,Data Center NYC,-,-
739 Welch Drive,Data Center West,-,-
Ashburn,Data Foundry,-,-
Austin,Data Foundry,-,-
Houston 2,Data Foundry,32516 m²,60000 kW
Houston Data Center,Data Foundry,-,-
Texas 1 Data Center,Data Foundry,-,-
Data One Kingston Pike,Data One Corporation,-,-
Data One Ray Mears,Data One Corporation,-,-
Chicago Board of Trade Building,Data Stream,-,-
102 S. Tejon,Data102,-,-
Data 393 Englewood,"Data393 Holdings, LLC",-,-
East Twin Cities Data Center,DataBank,4645 m²,20000 kW
North Dallas Data Center,DataBank,3902 m²,20000 kW
Pine Ridge Data Center,DataBank,1115 m²,5000 kW
South Lake Data Center,DataBank,557 m²,1000 kW
West Twin Cities Data Center,DataBank,1486 m²,5000 kW
"Datacenter 101, LLC",Datacenter 101,-,-
SCG Services,DataCenter.BZ,-,-
DataChambers,DataChambers,-,-
Kannapolis,DataChambers,4645 m²,-
Raleigh,DataChambers,-,-
DataPipe Somerset,Datapipe,-,-
San Jose Live / Shopping Mall Colo,Datapipe,-,-
Boise,DataSite,-,-
DataSite Orlando,DataSite,-,-
Datatech Hosting,Datatech,-,-
"Dataware, LLC",Dataware Services,-,-
"Dataware, LLC",Dataware Services,-,-
Sioux Falls 3,Dataware Services,-,-
Datotel,Datotel,-,-
Lehigh Valley,DBSi,-,-
Tek Park,DBSi,-,-
Valley Forge,DBSi,-,-
Beaumeade I,DBT DATA,-,-
Beaumeade II,DBT DATA,-,20000 kW
Beaumeade III,DBT DATA,-,-
Beaumeade IV,DBT DATA,-,-
Harrisonburg,DBT DATA,-,6000 kW
Plano,Dell,-,-
Quincy,Dell,-,-
Marina Towers,DigiLink,-,-
DE Philly,Digital Edge,-,-
New York,Digital Ocean,-,-
New York 2,Digital Ocean,-,-
New York 3,Digital Ocean,-,-
San Francisco,Digital Ocean,-,-
San Francisco 2,Digital Ocean,-,-
101 Aquila Way,Digital Realty Trust,-,-
105 Cabot St.,Digital Realty Trust,3716 m²,10000 kW
1100 Space Park Drive,Digital Realty Trust,5200 m²,3325 kW
1125 Energy Park Drive,Digital Realty Trust,-,-
113 N Myers,Digital Realty Trust,669 m²,810 kW
115 Second Avenue,Digital Realty Trust,-,-
11830 Webb Chapel Road,Digital Realty Trust,11000 m²,-
11900 E Cornell Ave,Digital Realty Trust,9594 m²,6500 kW
120 E. Van Buren,Digital Realty Trust,16200 m²,33840 kW
12001-12245 North Freeway,Digital Realty Trust,2787 m²,25075 kW
1201 Comstock,Digital Realty Trust,8919 m²,3825 kW
1232 Alma Road,Digital Realty Trust,-,-
125 North Myers Street,Digital Realty Trust,685 m²,810 kW
1350 Duane Avenue,Digital Realty Trust,-,-
150 South First Street,Digital Realty Trust,-,-
1500 Space Park Dr,Digital Realty Trust,1600 m²,9000 kW
1500 Towerview Road,Digital Realty Trust,10000 m²,-
1525 Comstock Street,Digital Realty Trust,2716 m²,7650 kW
1725 Comstock Street,Digital Realty Trust,1951 m²,7650 kW
1900 S. Price Road,Digital Realty Trust,3500 m²,10000 kW
2 Peekay Drive,Digital Realty Trust,3000 m²,15000 kW
200 North Nash Street,Digital Realty Trust,-,-
200 Paul Avenue 1-4,Digital Realty Trust,130000 m²,12000 kW
2001 Sixth Avenue,Digital Realty Trust,9000 m²,14025 kW
2010 East Centennial Circle,Digital Realty Trust,1841 m²,-
2045 & 2055 LaFayette Street,Digital Realty Trust,-,-
