,Data Center,Company,Address,City,State,lat,lon,White space,Gross power
682,INAP Dallas,INAP,1221 Coit Road,Plano,Texas,33.0136764,-96.6925096,,
683,LOGIX FIBER NETWORKS Fort Worth,LOGIX FIBER NETWORKS,307-309 West 7th St,Fort Worth,Texas,32.753177,-97.3327459,,
684,LOGIX FIBER NETWORKS Dallas #1,LOGIX FIBER NETWORKS,"2323 Bryan, Suite 850",Dallas,Texas,32.7762719,-96.7968559,,
685,LOGIX FIBER NETWORKS Dallas #2,LOGIX FIBER NETWORKS,2914 Taylor Street,Dallas,Texas,32.7762719,-96.7968559,,
686,Lumen Dallas,Lumen,3180 Irving Blvd.,Dallas,Texas,32.7762719,-96.7968559,,
687,Lumen Dallas 2,Lumen,1950 Stemmons Freeway,Dallas,Texas,32.7762719,-96.7968559,,
688,Lumen Dallas 3,Lumen,1201 Main Street,Dallas,Texas,32.7762719,-96.7968559,,
689,Lumen Dallas 4,Lumen,400 S Akrad,Dallas,Texas,32.7762719,-96.7968559,,
690,Lumen Fort Worth 1,Lumen,1601 Jones Street,Fort Worth,Texas,32.753177,-97.3327459,,
691,ND ITG,Clearview International,6606 Lyndon B Johnson Fwy Ste 135,Dallas,Texas,32.7762719,-96.7968559,,
692,Nimbix - Dallas,Nimbix,2323 Bryan Street,Dallas,Texas,32.7762719,-96.7968559,,
693,NocRoom Dallas Colocation and VPS,NocRoom Miami Colocation VPS,33004 Irving Blvd,Dallas,Texas,32.7762719,-96.7968559,,
694,NTT Dallas TX1,NTT Global Data Centers Americas,2008 Lookout Drive,Garland,Texas,32.912624,-96.6388833,,
695,Provision Data Services,Provision Data Services,2020 Live Oak,Dallas,Texas,32.7762719,-96.7968559,,
696,Psychz Dallas,Psychz Networks,1515 Roundtable Dr,Dallas,Texas,32.7762719,-96.7968559,,
697,QTS Fort Worth,QTS Data Centers,14100 Park Vista Boulevard,Fort Worth,Texas,32.753177,-97.3327459,,
698,QTS Irving,QTS Data Centers,6431 Longhorn Drive,Irving,Texas,32.8295183,-96.9442177,,
699,Rackspace Dallas,Rackspace Hosting,801 Industrial Blvd.,Grapevine,Texas,32.9337381,-97.0788754,,
700,Serverphase.com,M&A Technology Inc.,2045 Chenault Drive,Carrollton,Texas,32.9537349,-96.8902816,,
701,SoftLayer - DAL01,SoftLayer,1950 N. Stemmons Freeway,Dallas,Texas,32.7762719,-96.7968559,,
702,SoftLayer - DAL02/06,SoftLayer,"1333 North Stemmons Freeway, Suite 110",Dallas,Texas,32.7762719,-96.7968559,,
703,SoftLayer - DAL04,SoftLayer,400 Akard St,Dallas,Texas,32.7762719,-96.7968559,,
704,SoftLayer - DAL07,SoftLayer,1700 Summit Ave,Plano,Texas,33.0136764,-96.6925096,,
705,SoftLayer Headquarters,SoftLayer,4849 Alpha Rd,Dallas,Texas,32.7762719,-96.7968559,,
706,SungardAS Richardson,Sungard Availability Services,1001 East Campbell Road,Richardson,Texas,32.9481789,-96.7297206,,
707,Tier.Net,TierNet,1515 round table drive,Dallas,Texas,32.7762719,-96.7968559,,
708,TierPoint Dallas,TierPoint,3000 Irving Blvd,Dallas,Texas,32.7762719,-96.7968559,,
709,Tierpoint Dallas-Allen,TierPoint,820 Allen Commerce Parkway,Allen,Texas,33.1031744,-96.6705503,,
710,tw telecom Dallas,tw telecom,1150 Regal Row,Dallas,Texas,32.7762719,-96.7968559,,
711,VAZATA Dallas I,VAZATA,4025 Midway Road,Carrollton,Texas,32.9537349,-96.8902816,,
712,VAZATA Dallas II,VAZATA,2440 Marsh Lane,Carrollton,Texas,32.9537349,-96.8902816,,
713,Waymark Plano,Waymark Communications,5800 Granite Parkway,Plano,Texas,33.0136764,-96.6925096,,
714,XO Dallas,XO Communications,1300 W. MockingBird Lane,Dallas,Texas,32.7762719,-96.7968559,,
715,XO Dallas #2,XO Communications,1950 Stemmons Freeway,Dallas,Texas,32.7762719,-96.7968559,,
716,zColo - 1950 Stemmons Fwy,zColo,1950 Stemmons Fwy,Dallas,Texas,32.7762719,-96.7968559,,
717,zColo - 2323 Bryan St,zColo,2323 Bryan St,Dallas,Texas,32.7762719,-96.7968559,,
718,zColo - 8600 Harry Hines Blvd,zColo,8600 Harry Hines Blvd,Dallas,Texas,32.7762719,-96.7968559,,
719,Lumen Waco,Lumen,"1417 Airbase Rd,",Waco,Texas,31.549333,-97.1466695,,
720,Waco ITG,Clearview International,700 Austin,Waco,Texas,31.549333,-97.1466695,,
721,Concergent,Concergent IT,"245 N. Waco, Ste 160",Wichita,Kansas,37.6922361,-97.3375448,,
722,ISG Wichita,ISG Technology,"3700 W. May, Suite 500",Wichita,Kansas,37.6922361,-97.3375448,,
723,7500 Metro Center Drive,Digital Realty,7500 Metro Center Drive,Austin,Texas,30.2711286,-97.7436995,,
724,Bestline Communications,"Bestline Communications, L.P.","1122 Colorado St, Suite 110",Austin,Texas,30.2711286,-97.7436995,,
725,CyrusOne Austin Data Center I,CyrusOne Data Centers,7401-2 East Ben White Blvd,Austin,Texas,30.2711286,-97.7436995,,
726,CyrusOne Austin Data Center II,CyrusOne Data Centers,"7301 Metropolis Dr, Bldg #6",Austin,Texas,30.2711286,-97.7436995,,
727,Data Foundry - Austin Data Center,Data Foundry,7401-1 East Ben White Blvd.,Austin,Texas,30.2711286,-97.7436995,,
728,Data Foundry - Texas 1 Data Center,Data Foundry,4100 Smith School Road,Austin,Texas,30.2711286,-97.7436995,,
729,Edge Data Center - Austin,American Tower Corporation,1601 West 10th Street,Austin,Texas,30.2711286,-97.7436995,,
730,Flexential Austin,Flexential,205 W. 9th Street,Austin,Texas,30.2711286,-97.7436995,,
731,Hostway Austin Trade Center,"Hostway Services, Inc",6110 Trade Center Dr Ste 100,Austin,Texas,30.2711286,-97.7436995,,
732,Hostway Austin Waller,"Hostway Services, Inc",501 Waller,Austin,Texas,30.2711286,-97.7436995,,
733,LightEdge - Austin I,LightEdge,"2916 Montopolis Drive, Suite 300",Austin,Texas,30.2711286,-97.7436995,,
734,LightEdge - Austin II,LightEdge,7000 Burleson Road,Austin,Texas,30.2711286,-97.7436995,,
735,LOGIX FIBER NETWORKS Austin,LOGIX FIBER NETWORKS,1905 E. 6th Street,Austin,Texas,30.2711286,-97.7436995,,
736,Lumen Austin 1,Lumen,4207 Smith School Road,Austin,Texas,30.2711286,-97.7436995,,
737,Lumen Austin 2,Lumen,1825-A Kramer Lane,Austin,Texas,30.2711286,-97.7436995,,
738,Lumen Austin 3,Lumen,500 B. Chicon Street,Austin,Texas,30.2711286,-97.7436995,,
739,OSN Austin Data Center,One Source Networks,6200 Bridgepoint Parkway,Austin,Texas,30.2711286,-97.7436995,,
740,Thin-nology,Thin-nology LLC,3804 Helios Way,Pflugerville,Texas,30.4393696,-97.6200043,,
741,tw telecom Austin,tw telecom,3012 Montopolis Dr,Austin,Texas,30.2711286,-97.7436995,,
742,XO Austin,XO Communications,2100 So. I H 35,Austin,Texas,30.2711286,-97.7436995,,
743,XO Austin #2,XO Communications,11400 Burnet RD. Bldg 5,Austin,Texas,30.2711286,-97.7436995,,
744,zColo - 7218 McNeil Dr,zColo,7218 McNeil Dr,Austin,Texas,30.2711286,-97.7436995,,
745,CarrierCom,CarrierCOM LP,"200 S. 10th Street, Suite 708",McAllen,Texas,26.204114,-98.2300605,,
746,Lumen McAllen 1,Lumen,906 Beech Avenue,McAllen,Texas,26.204114,-98.2300605,,
747,MDC Data Centers,MDC Data Centers,200 South 10th,McAllen,Texas,26.204114,-98.2300605,,
748,MDC Data Centers,MDC Data Centers,13619 Cabezut Dr,Laredo,Texas,27.5236998,-99.497352,,
749,Lumen Laredo 1,Lumen,518 Farragut,Laredo,Texas,27.5236998,-99.497352,,
750,Lumen Lubbock 1,Lumen,1502 Ave. N,Lubbock,Texas,33.5635206,-101.879336,,
751,Reese Data Center,Reese Data Center,9924 Reese Blvd.,Lubbock,Texas,33.5635206,-101.879336,,
752,1500 Champa,Morgan Reed Group,1500 Champa Street,Denver,Colorado,39.7392364,-104.984862,,
753,4dv.net,4dv.net,"6 Inverness Drive East, First Floor",Englewood,Colorado,39.6482059,-104.9879641,,
754,Clear Channel Satellite,Clear Channel Satellite,"76 Inverness Drive East, Suite B",Englewood,Colorado,39.6482059,-104.9879641,,
755,Cogent Denver,"Cogent Communications, Inc.",4643 S Ulster St,Denver,Colorado,39.7392364,-104.984862,,
756,Colorado Colo,Colorado Colo,11100 West 8th Ave Suite 300,Lakewood,Colorado,39.7085736,-105.0846694,,
757,CoreSite Denver (DE1),CoreSite,910 15th st,Denver,Colorado,39.7392364,-104.984862,,
758,CoreSite Denver (DE2),CoreSite,639 E 18th Ave,Denver,Colorado,39.7392364,-104.984862,,
759,Cyxtera - Denver DEN1,Cyxtera Technologies,9180 Commerce Center Cir,Highland Ranch,Colorado,39.125742,-106.846141,,
760,Cyxtera - Denver DEN2-A,Cyxtera Technologies,8534 Concord Center Dr,Englewood,Colorado,39.6482059,-104.9879641,,
761,Cyxtera - Denver DEN2-B,Cyxtera Technologies,9110 Commerce Center Circle,Highland Ranch,Colorado,39.125742,-106.846141,,
762,DENVER-01,FORETHOUGHT.net,2347 Curtis St,Denver,Colorado,39.7392364,-104.984862,,
763,Earthnet Data Center Boulder,Earthnet Data Center and Consulting Boulder Colorado,4735 Walnut St - Ste. F,Boulder,Colorado,40.0149856,-105.270545,,
764,Edge Data Center - Boulder,American Tower Corporation,9110 Interlocken Loop,Broomfield,Colorado,39.9403995,-105.05208,,
765,Edge Data Center - Denver,American Tower Corporation,5041 Broadway,Denver,Colorado,39.7392364,-104.984862,,
766,EdgeConneX Denver - EDCDEN01,EdgeConneX,8535 Highfield Pkwy,Englewood,Colorado,39.6482059,-104.9879641,,
767,Equinix DE1,"Equinix, Inc","9706 E. Easter Avenue, Suite 160",Englewood,Colorado,39.6482059,-104.9879641,,
768,Flexential Denver - Aurora,Flexential,11900 Cornell Avenue,Aurora,Colorado,39.7405111,-104.8309947,,
769,Flexential Denver - Centennial,Flexential,12500 East Arapahoe Road,Centennial,Colorado,39.579155,-104.8769227,,
770,Flexential Denver - Downtown,Flexential,"1500 Champa Street, Suite 100",Denver,Colorado,39.7392364,-104.984862,,
771,Flexential Denver - Englewood,Flexential,8636 S Peoria Street,Englewood,Colorado,39.6482059,-104.9879641,,
772,Flexential Denver - LoDo,Flexential,501 Wazee Street,Denver,Colorado,39.7392364,-104.984862,,
